ID_EoL,CanonicalName,BinomialName,Order,Family,Genus,Species,Domestication,X1.1_ActivityCycle,X5.1_AdultBodyMass_g,X8.1_AdultForearmLen_mm,X13.1_AdultHeadBodyLen_mm,X2.1_AgeatEyeOpening_d,X3.1_AgeatFirstBirth_d,X18.1_BasalMetRate_mLO2hr,X5.2_BasalMetRateMass_g,X6.1_DietBreadth,X7.1_DispersalAge_d,X9.1_GestationLen_d,X12.1_HabitatBreadth,X22.1_HomeRange_km2,X22.2_HomeRange_Indiv_km2,X14.1_InterbirthInterval_d,X15.1_LitterSize,X16.1_LittersPerYear,X17.1_MaxLongevity_m,X5.3_NeonateBodyMass_g,X13.2_NeonateHeadBodyLen_mm,X21.1_PopulationDensity_n_per_km2,X10.1_PopulationGrpSize,X23.1_SexualMaturityAge_d,X10.2_SocialGrpSize,X24.1_TeatNumber,X12.2_Terrestriality,X6.2_TrophicLevel,X25.1_WeaningAge_d,X5.4_WeaningBodyMass_g,X13.3_WeaningHeadBodyLen_mm,Diet,AVGFoodConsumption,Sociality,SocialHierarchy,NumMales,MaturityReachMale,MaturityReachFemale,MatingSystem,NumOffspring,BreedingInterval,YearRoundBreeding,AVGBodyMass,ParentalCare,DevelopmentStrategy,HeadOrnaments,Lifespan,NaturalPredators,Motility,CarryWeight,PullStrength,AVGMovingSpeed,AVGTravelDistance
328339,Tragulus javanicus,Tragulus_javanicus,Artiodactyla,Tragulidae,Tragulus,javanicus,0,1,1889.93,NA,514.29,NA,NA,872.1,1618,3,NA,158.55,NA,NA,NA,NA,0.98,NA,144,NA,NA,NA,NA,157.32,1,4,NA,1,21,NA,NA,NA,72,NA,2,3,5.4904,5.4904,NA,0.98,NA,1,1.8,2,NA,0,12,2,1,377.986,377.986,NA,0.051
32137235,Tragulus kanchil,Tragulus_kanchil,Artiodactyla,Tragulidae,Tragulus,kanchil,0,2,1850,NA,NA,NA,NA,NA,NA,3,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,4,NA,NA,NA,NA,NA,NA,1.85,2,NA,0,NA,2,1,NA,NA,NA,0.55
309016,Vicugna vicugna,Vicugna_vicugna,Artiodactyla,Camelidae,Vicugna,vicugna,1,3,47499.61,NA,1575,NA,1140.62,NA,NA,1,NA,345.45,1,0.12,0.13,547.5,1,1,297.6,6082.92,NA,3.1,NA,941.19,10,NA,1,1,309.89,NA,NA,NA,2,2,2,2,24,24,2,1,548,2,47.4,2,1,0,28,1,1,9499.922,9499.922,65,0.12
331074,Addax nasomaculatus,Addax_nasomaculatus,Artiodactyla,Bovidae,Addax,nasomaculatus,0,1,96077.36,NA,NA,NA,1066.86,NA,NA,5,NA,262.74,1,NA,NA,360,1,NA,308.04,5633.76,NA,NA,61.25,NA,12.62,4,1,1,NA,NA,NA,4,3.84,2,1,1,24,30,NA,1,355,1,96,2,NA,0,25,2,1,19215.472,19215.472,NA,NA
308540,Aepyceros melampus,Aepyceros_melampus,Artiodactyla,Bovidae,Aepyceros,melampus,0,3,52591.69,NA,1420,NA,730,NA,NA,2,NA,196.74,1,1.97,2.36,365,0.98,NA,213,5238.4,NA,13.36,NA,498.97,15.25,4,1,1,150,14563.8,NA,4,2.08,2,1,1,12,18,2,0.98,365,2,52,2,2,1,17,2,1,10518.338,10518.338,88,1.97
308529,Alcelaphus buselaphus,Alcelaphus_buselaphus,Artiodactyla,Bovidae,Alcelaphus,buselaphus,0,3,160937.86,NA,1974.99,NA,927.7,NA,NA,2,NA,242.66,1,2.73,1.59,345.5,1,NA,240,12500,NA,3.65,NA,827.69,20,2,1,1,188.73,47894.46,NA,4,6.4,2,1,1,NA,24,2,1,365,2,160,2,2,0,20,2,1,32187.572,32187.572,80,2.73
4447799,Alcelaphus caama,Alcelaphus_caama,Artiodactyla,Bovidae,Alcelaphus,caama,0,3,176115.97,NA,NA,NA,NA,NA,NA,1,NA,240,NA,NA,NA,NA,NA,NA,183.96,NA,NA,3.18,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,7.04,NA,NA,1,NA,NA,NA,NA,NA,NA,176,2,NA,0,20,2,NA,35223.194,35223.194,60,NA
308535,Alcelaphus lichtensteinii,Alcelaphus_lichtensteinii,Artiodactyla,Bovidae,Alcelaphus,lichtensteinii,0,3,168695.66,NA,NA,NA,730,NA,NA,3,NA,237,1,4.41,NA,365,0.98,NA,NA,15000,NA,1.71,NA,596.29,10,NA,1,1,NA,NA,NA,NA,6.72,NA,NA,2,NA,NA,NA,0.98,365,NA,168,2,NA,0,NA,2,1,33739.132,33739.132,72,4.41
328654,Alces alces,Alces_alces,Artiodactyla,Cervidae,Alces,alces,0,2,461900.76,NA,2930.47,NA,1216.66,NA,NA,1,NA,235,1,71.75,73.26,365,1.25,1.7,324,12999.99,NA,0.4,NA,668.2,1,4,1,1,98.85,86299.96,NA,6,9.22,1,1,4,42,22,2,1.25,365,2,461,2,1,1,27,2,1,92380.152,92380.152,9.6,71.75
2921075,Alces americanus,Alces_americanus,Artiodactyla,Cervidae,Alces,americanus,0,3,541460.44,NA,2097.16,NA,NA,NA,NA,2,NA,245,NA,NA,NA,NA,1,NA,300,13499.99,NA,NA,NA,631.37,NA,NA,NA,1,182.5,NA,NA,4,10.82,1,2,4,24,24,2,1,NA,2,541,2,1,1,27,1,1,108292.088,108292.088,9.6,7.5
